ts_iso,symbol,source,subsource,kind,seq_or_tradeid,px,sz,bid,ask,mid,recv_ts,ws_ts,arrival_ms,note
2025-11-10T14:04:39.915Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,210720,168.72,0.06,,,,1762783478875,0,1762783478922,
2025-11-10T14:04:39.915Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,210721,168.72,0.03,,,,1762783478875,0,1762783478922,
2025-11-10T14:04:39.915Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,210722,168.72,0.032,,,,1762783478875,0,1762783478922,
2025-11-10T14:04:39.915Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,210723,168.72,0.032,,,,1762783478875,0,1762783478922,
2025-11-10T14:04:39.915Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,210724,168.72,0.048,,,,1762783478875,0,1762783478922,
2025-11-10T14:04:39.915Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,210725,168.72,0.032,,,,1762783478875,0,1762783478922,
2025-11-10T14:04:39.915Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,210726,168.72,0.032,,,,1762783478875,0,1762783478922,
2025-11-10T14:04:39.915Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,210727,168.72,0.031,,,,1762783478875,0,1762783478922,
2025-11-10T14:04:39.915Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,210728,168.72,0.001,,,,1762783478876,0,1762783478922,
2025-11-10T14:04:39.915Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,210729,168.72,0.032,,,,1762783478876,0,1762783478922,
2025-11-10T14:04:39.915Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,210730,168.72,0.032,,,,1762783478876,0,1762783478922,
2025-11-10T14:04:39.915Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,210731,168.72,0.032,,,,1762783478876,0,1762783478922,
2025-11-10T14:04:39.915Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,210732,168.72,0.032,,,,1762783478876,0,1762783478922,
2025-11-10T14:04:39.915Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,210733,168.72,0.032,,,,1762783478876,0,1762783478922,
2025-11-10T14:04:39.915Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,210734,168.72,0.03,,,,1762783478876,0,1762783478922,
2025-11-10T14:04:39.915Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,210735,168.72,0.303,,,,1762783478877,0,1762783478922,
2025-11-10T14:04:39.915Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,210736,168.72,4.365,,,,1762783478877,0,1762783478922,
2025-11-10T14:04:39.915Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,210900,168.71,6.416,,,,1762783479326,0,1762783479331,
2025-11-10T14:04:39.915Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,210937,168.71,4.006,,,,1762783479554,0,1762783479587,
2025-11-10T14:04:39.915Z,SOLUSDT,ws,ws,1,1703874462,168.72,0.029,,,,0,1762783479760,1762783479914,
2025-11-10T14:04:39.942Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,210970,168.72,0.029,,,,1762783479902,0,1762783479942,
2025-11-10T14:04:40.135Z,SOLUSDT,ws,ws,1,1703874463,168.71,2.5,,,,0,1762783479955,1762783480135,
2025-11-10T14:04:40.147Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,211020,168.71,2.5,,,,1762783480134,0,1762783480147,
2025-11-10T14:04:40.198Z,SOLUSDT,ws,ws,1,1703874464,168.71,16.508,,,,0,1762783480042,1762783480198,
