ts_iso,symbol,source,subsource,kind,seq_or_tradeid,px,sz,bid,ask,mid,recv_ts,ws_ts,arrival_ms,price_diff,matched_with,note
2025-10-28T21:15:28.432Z,ADAUSDT,mmap,rings/binance_trade_chunk0,1,30527,0.6422,45.5,,,,1761686128386,0,1761686128431,,,
2025-10-28T21:15:29.802Z,ADAUSDT,ws,ws,1,724771414,0.6422,87.2,,,,0,1761686129672,1761686129802,,,
2025-10-28T21:15:29.840Z,ADAUSDT,mmap,rings/binance_trade_chunk0,1,30713,0.6422,87.2,,,,1761686129803,0,1761686129840,,,
2025-10-28T21:15:29.840Z,ADAUSDT,compare,rings/binance_trade_chunk0|ws,2,30713,0.6422,87.2,,,,1761686129803,1761686129672,1761686129840,0,724771414,dt_ms=131
2025-10-28T21:15:30.607Z,ADAUSDT,ws,ws,1,724771415,0.6421,11.7,,,,0,1761686130476,1761686130607,,,
2025-10-28T21:15:30.608Z,ADAUSDT,ws,ws,1,724771416,0.6421,7.8,,,,0,1761686130476,1761686130608,,,
2025-10-28T21:15:30.608Z,ADAUSDT,ws,ws,1,724771417,0.6421,7.8,,,,0,1761686130476,1761686130608,,,
2025-10-28T21:15:30.608Z,ADAUSDT,ws,ws,1,724771418,0.6421,8.2,,,,0,1761686130476,1761686130608,,,
2025-10-28T21:15:30.608Z,ADAUSDT,ws,ws,1,724771419,0.6421,8.2,,,,0,1761686130476,1761686130608,,,
2025-10-28T21:15:30.608Z,ADAUSDT,ws,ws,1,724771420,0.6421,9.7,,,,0,1761686130476,1761686130608,,,
2025-10-28T21:15:30.608Z,ADAUSDT,ws,ws,1,724771421,0.6421,15.1,,,,0,1761686130476,1761686130608,,,
2025-10-28T21:15:30.609Z,ADAUSDT,ws,ws,1,724771422,0.6421,281,,,,0,1761686130476,1761686130609,,,
2025-10-28T21:15:30.649Z,ADAUSDT,mmap,rings/binance_trade_chunk0,1,30809,0.6421,11.7,,,,1761686130608,0,1761686130648,,,
