ts_iso,symbol,source,subsource,kind,seq_or_tradeid,px,sz,bid,ask,mid,recv_ts,ws_ts,arrival_ms,price_diff,matched_with,note
2025-10-28T21:11:34.038Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,841,2.5751,351.6,,,,1761685893993,0,1761685894038,,,
2025-10-28T21:11:34.038Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,855,2.5752,11,,,,1761685894007,0,1761685894038,,,
2025-10-28T21:11:34.038Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,856,2.5752,2,,,,1761685894007,0,1761685894038,,,
2025-10-28T21:11:34.038Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,857,2.5752,181.2,,,,1761685894007,0,1761685894038,,,
2025-10-28T21:11:34.305Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,923,2.5752,2,,,,1761685894265,0,1761685894305,,,
2025-10-28T21:11:34.305Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,924,2.5752,2,,,,1761685894286,0,1761685894305,,,
2025-10-28T21:11:34.305Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,925,2.5752,2,,,,1761685894286,0,1761685894305,,,
2025-10-28T21:11:34.305Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,926,2.5752,13.6,,,,1761685894286,0,1761685894305,,,
2025-10-28T21:11:34.305Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,927,2.5752,2,,,,1761685894286,0,1761685894305,,,
2025-10-28T21:11:34.305Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,928,2.5752,4.2,,,,1761685894286,0,1761685894305,,,
2025-10-28T21:11:34.305Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,929,2.5752,2.1,,,,1761685894286,0,1761685894305,,,
2025-10-28T21:11:34.305Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,930,2.5752,2.1,,,,1761685894286,0,1761685894305,,,
2025-10-28T21:11:34.305Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,931,2.5752,2,,,,1761685894286,0,1761685894305,,,
2025-10-28T21:11:34.305Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,932,2.5752,2,,,,1761685894286,0,1761685894305,,,
2025-10-28T21:11:34.305Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,933,2.5752,2,,,,1761685894286,0,1761685894305,,,
2025-10-28T21:11:34.306Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,934,2.5752,2,,,,1761685894286,0,1761685894305,,,
2025-10-28T21:11:34.306Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,935,2.5752,13.6,,,,1761685894286,0,1761685894306,,,
2025-10-28T21:11:34.306Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,936,2.5752,2,,,,1761685894286,0,1761685894306,,,
2025-10-28T21:11:34.306Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,937,2.5752,2,,,,1761685894286,0,1761685894306,,,
2025-10-28T21:11:34.306Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,941,2.5752,2,,,,1761685894286,0,1761685894306,,,
2025-10-28T21:11:34.306Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,942,2.5752,2.1,,,,1761685894287,0,1761685894306,,,
2025-10-28T21:11:34.568Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,1002,2.5753,2,,,,1761685894542,0,1761685894568,,,
2025-10-28T21:11:34.568Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,1003,2.5753,2.1,,,,1761685894542,0,1761685894568,,,
2025-10-28T21:11:34.568Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,1004,2.5753,2.1,,,,1761685894543,0,1761685894568,,,
