ws_idx,mmap_idx,ws_id,mmap_id,ws_ts_ms,mmap_ts_ms,dt_ms,ws_px,mmap_px,price_diff,abs_diff
74,18,,1529.0,1761504975308.0,1761504975420.0,112.0,,113647.77,,
75,18,,1529.0,1761504975309.0,1761504975420.0,111.0,,113647.77,,
76,18,,1529.0,1761504975309.0,1761504975420.0,111.0,,113647.77,,
77,18,,1529.0,1761504975309.0,1761504975420.0,111.0,,113647.77,,
80,18,,1529.0,1761504975310.0,1761504975420.0,110.0,,113647.77,,
81,18,,1529.0,1761504975310.0,1761504975420.0,110.0,,113647.77,,
78,18,,1529.0,1761504975310.0,1761504975420.0,110.0,,113647.77,,
79,18,,1529.0,1761504975310.0,1761504975420.0,110.0,,113647.77,,
83,18,,1529.0,1761504975311.0,1761504975420.0,109.0,,113647.77,,
84,18,,1529.0,1761504975311.0,1761504975420.0,109.0,,113647.77,,
85,18,,1529.0,1761504975311.0,1761504975420.0,109.0,,113647.77,,
82,18,,1529.0,1761504975311.0,1761504975420.0,109.0,,113647.77,,
86,18,,1529.0,1761504975312.0,1761504975420.0,108.0,,113647.77,,
87,18,,1529.0,1761504975312.0,1761504975420.0,108.0,,113647.77,,
88,18,,1529.0,1761504975329.0,1761504975420.0,91.0,,113647.77,,
89,18,,1529.0,1761504975391.0,1761504975420.0,29.0,,113647.77,,
90,18,,1529.0,1761504975392.0,1761504975420.0,28.0,,113647.77,,
91,18,,1529.0,1761504975392.0,1761504975420.0,28.0,,113647.77,,
92,18,,1529.0,1761504975393.0,1761504975420.0,27.0,,113647.77,,
93,18,,1529.0,1761504975393.0,1761504975420.0,27.0,,113647.77,,
95,18,,1529.0,1761504975405.0,1761504975420.0,15.0,,113647.77,,
94,18,,1529.0,1761504975405.0,1761504975420.0,15.0,,113647.77,,
96,18,,1529.0,1761504975407.0,1761504975420.0,13.0,,113647.77,,
97,18,,1529.0,1761504975408.0,1761504975420.0,12.0,,113647.77,,
98,18,,1529.0,1761504975413.0,1761504975420.0,7.0,,113647.77,,
