ws_idx,mmap_idx,ws_id,mmap_id,ws_ts_ms,mmap_ts_ms,dt_ms,ws_px,mmap_px,price_diff,abs_diff
111,92,,30383.0,1761505211718.5,1761505211879.0,160.5,,4072.24,,
114,92,3056952688.0,30383.0,1761505211745.5,1761505211879.0,133.5,4072.24,4072.24,0.0,0.0
113,92,,30383.0,1761505211898.5,1761505211879.0,19.5,,4072.24,,
115,92,,30383.0,1761505212121.5,1761505211879.0,242.5,,4072.24,,
116,93,,30449.0,1761505212308.5,1761505212627.0,318.5,,4072.24,,
117,93,,30449.0,1761505212437.5,1761505212627.0,189.5,,4072.24,,
118,93,,30449.0,1761505212447.5,1761505212627.0,179.5,,4072.24,,
119,93,,30449.0,1761505212451.5,1761505212627.0,175.5,,4072.24,,
120,93,,30449.0,1761505212457.5,1761505212627.0,169.5,,4072.24,,
122,93,3056952689.0,30449.0,1761505212493.5,1761505212627.0,133.5,4072.24,4072.24,0.0,0.0
121,93,,30449.0,1761505212641.5,1761505212627.0,14.5,,4072.24,,
124,95,3056952690.0,30487.0,1761505212902.5,1761505213035.0,132.5,4072.23,4072.23,0.0,0.0
123,95,,30487.0,1761505213093.5,1761505213035.0,58.5,,4072.23,,
125,95,,30487.0,1761505213177.5,1761505213035.0,142.5,,4072.23,,
126,95,,30487.0,1761505213230.5,1761505213035.0,195.5,,4072.23,,
127,95,,30487.0,1761505213233.5,1761505213035.0,198.5,,4072.23,,
128,95,,30487.0,1761505213234.5,1761505213035.0,199.5,,4072.23,,
129,95,,30487.0,1761505213463.5,1761505213035.0,428.5,,4072.23,,
137,96,3056952691.0,30993.0,1761505214268.5,1761505214458.0,189.5,4072.24,4072.24,0.0,0.0
138,96,,30993.0,1761505214410.5,1761505214458.0,47.5,,4072.24,,
139,96,,30993.0,1761505214440.5,1761505214458.0,17.5,,4072.24,,
140,96,,30993.0,1761505214622.5,1761505214458.0,164.5,,4072.24,,
141,96,,30993.0,1761505214640.5,1761505214458.0,182.5,,4072.24,,
142,96,,30993.0,1761505214653.5,1761505214458.0,195.5,,4072.24,,
143,96,,30993.0,1761505214739.5,1761505214458.0,281.5,,4072.24,,
144,98,,31115.0,1761505214771.5,1761505215036.0,264.5,,4072.24,,
145,98,,31115.0,1761505214794.5,1761505215036.0,241.5,,4072.24,,
146,98,,31115.0,1761505214795.5,1761505215036.0,240.5,,4072.24,,
147,98,,31115.0,1761505214797.5,1761505215036.0,238.5,,4072.24,,
148,98,,31115.0,1761505214810.5,1761505215036.0,225.5,,4072.24,,
150,98,3056952692.0,31115.0,1761505214903.5,1761505215036.0,132.5,4072.24,4072.24,0.0,0.0
149,98,,31115.0,1761505214974.5,1761505215036.0,61.5,,4072.24,,
151,98,,31115.0,1761505215049.5,1761505215036.0,13.5,,4072.24,,
152,98,,31115.0,1761505215283.5,1761505215036.0,247.5,,4072.24,,
153,100,,31168.0,1761505215383.5,1761505215669.0,285.5,,4072.24,,
154,100,,31168.0,1761505215384.5,1761505215669.0,284.5,,4072.24,,
156,100,3056952693.0,31168.0,1761505215533.5,1761505215669.0,135.5,4072.24,4072.24,0.0,0.0
155,100,,31168.0,1761505215684.5,1761505215669.0,15.5,,4072.24,,
157,101,,31282.0,1761505216144.5,1761505216414.0,269.5,,4072.24,,
158,101,,31282.0,1761505216266.5,1761505216414.0,147.5,,4072.24,,
159,101,,31282.0,1761505216266.5,1761505216414.0,147.5,,4072.24,,
177,101,3056952694.0,31282.0,1761505216281.5,1761505216414.0,132.5,4072.24,4072.24,0.0,0.0
160,101,,31282.0,1761505216362.5,1761505216414.0,51.5,,4072.24,,
161,101,,31282.0,1761505216369.5,1761505216414.0,44.5,,4072.24,,
162,101,,31282.0,1761505216370.5,1761505216414.0,43.5,,4072.24,,
163,101,,31282.0,1761505216370.5,1761505216414.0,43.5,,4072.24,,
164,101,,31282.0,1761505216371.5,1761505216414.0,42.5,,4072.24,,
165,101,,31282.0,1761505216371.5,1761505216414.0,42.5,,4072.24,,
166,101,,31282.0,1761505216378.5,1761505216414.0,35.5,,4072.24,,
167,101,,31282.0,1761505216422.5,1761505216414.0,8.5,,4072.24,,
168,101,,31282.0,1761505216434.5,1761505216414.0,20.5,,4072.24,,
170,101,,31282.0,1761505216435.5,1761505216414.0,21.5,,4072.24,,
171,101,,31282.0,1761505216435.5,1761505216414.0,21.5,,4072.24,,
169,101,,31282.0,1761505216435.5,1761505216414.0,21.5,,4072.24,,
172,101,,31282.0,1761505216436.5,1761505216414.0,22.5,,4072.24,,
173,101,,31282.0,1761505216437.5,1761505216414.0,23.5,,4072.24,,
174,101,,31282.0,1761505216437.5,1761505216414.0,23.5,,4072.24,,
175,101,,31282.0,1761505216438.5,1761505216414.0,24.5,,4072.24,,
176,101,,31282.0,1761505216441.5,1761505216414.0,27.5,,4072.24,,
178,101,,31282.0,1761505216458.5,1761505216414.0,44.5,,4072.24,,
179,103,,31443.0,1761505216774.5,1761505217116.0,341.5,,4072.23,,
180,103,,31443.0,1761505216816.5,1761505217116.0,299.5,,4072.23,,
181,103,,31443.0,1761505216817.5,1761505217116.0,298.5,,4072.23,,
182,103,,31443.0,1761505216893.5,1761505217116.0,222.5,,4072.23,,
183,103,,31443.0,1761505216893.5,1761505217116.0,222.5,,4072.23,,
198,103,3056952695.0,31443.0,1761505216983.5,1761505217116.0,132.5,4072.23,4072.23,0.0,0.0
184,103,,31443.0,1761505216991.5,1761505217116.0,124.5,,4072.23,,
185,103,,31443.0,1761505216992.5,1761505217116.0,123.5,,4072.23,,
202,103,3056952696.0,31443.0,1761505217075.5,1761505217116.0,40.5,4072.23,4072.23,0.0,0.0
186,103,,31443.0,1761505217105.5,1761505217116.0,10.5,,4072.23,,
187,103,,31443.0,1761505217106.5,1761505217116.0,9.5,,4072.23,,
188,103,,31443.0,1761505217106.5,1761505217116.0,9.5,,4072.23,,
189,103,,31443.0,1761505217106.5,1761505217116.0,9.5,,4072.23,,
190,103,,31443.0,1761505217107.5,1761505217116.0,8.5,,4072.23,,
191,103,,31443.0,1761505217107.5,1761505217116.0,8.5,,4072.23,,
192,103,,31443.0,1761505217124.5,1761505217116.0,8.5,,4072.23,,
193,103,,31443.0,1761505217125.5,1761505217116.0,9.5,,4072.23,,
194,103,,31443.0,1761505217126.5,1761505217116.0,10.5,,4072.23,,
195,103,,31443.0,1761505217126.5,1761505217116.0,10.5,,4072.23,,
197,103,,31443.0,1761505217132.5,1761505217116.0,16.5,,4072.23,,
196,103,,31443.0,1761505217132.5,1761505217116.0,16.5,,4072.23,,
199,103,,31443.0,1761505217133.5,1761505217116.0,17.5,,4072.23,,
200,103,,31443.0,1761505217159.5,1761505217116.0,43.5,,4072.23,,
201,105,,31518.0,1761505217168.5,1761505217208.0,39.5,,4072.23,,
209,105,3056952697.0,31518.0,1761505217184.5,1761505217208.0,23.5,4072.23,4072.23,0.0,0.0
211,105,3056952698.0,31518.0,1761505217190.5,1761505217208.0,17.5,4072.23,4072.23,0.0,0.0
203,107,,31574.0,1761505217299.5,1761505217317.0,17.5,,4072.23,,
204,107,,31574.0,1761505217300.5,1761505217317.0,16.5,,4072.23,,
205,107,,31574.0,1761505217301.5,1761505217317.0,15.5,,4072.23,,
206,107,,31574.0,1761505217301.5,1761505217317.0,15.5,,4072.23,,
207,108,,31575.0,1761505217325.5,1761505217324.0,1.5,,4072.23,,
208,108,,31575.0,1761505217328.5,1761505217324.0,4.5,,4072.23,,
210,108,,31575.0,1761505217329.5,1761505217324.0,5.5,,4072.23,,
212,108,,31575.0,1761505217448.5,1761505217324.0,124.5,,4072.23,,
213,108,,31575.0,1761505217448.5,1761505217324.0,124.5,,4072.23,,
214,108,,31575.0,1761505217461.5,1761505217324.0,137.5,,4072.23,,
215,108,,31575.0,1761505217462.5,1761505217324.0,138.5,,4072.23,,
216,108,,31575.0,1761505217465.5,1761505217324.0,141.5,,4072.23,,
217,108,,31575.0,1761505217469.5,1761505217324.0,145.5,,4072.23,,
218,108,,31575.0,1761505217470.5,1761505217324.0,146.5,,4072.23,,
219,108,,31575.0,1761505217497.5,1761505217324.0,173.5,,4072.23,,
220,108,,31575.0,1761505217497.5,1761505217324.0,173.5,,4072.23,,
221,108,,31575.0,1761505217498.5,1761505217324.0,174.5,,4072.23,,
222,108,,31575.0,1761505217498.5,1761505217324.0,174.5,,4072.23,,
223,108,,31575.0,1761505217610.5,1761505217324.0,286.5,,4072.23,,
