ts, snap_count, snap_bytes, snap_avg_ex_recv_ms, snap_avg_recv_write_ms, snap_max_ex_recv_ms, snap_max_recv_write_ms, trade_count, trade_bytes, trade_avg_ex_recv_ms, trade_avg_recv_write_ms, trade_max_ex_recv_ms, trade_max_recv_write_ms
1761656689, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656691, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656692, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656693, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656694, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656695, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656697, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656698, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656699, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656701, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656702, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656704, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656705, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656706, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656707, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656708, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656709, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656711, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656712, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656713, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656714, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656715, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656716, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656717, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656718, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656719, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656721, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656722, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656723, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656724, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656725, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656726, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656727, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656728, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656729, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656731, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656732, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656733, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656734, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656735, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656736, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656737, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656738, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656739, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656741, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656742, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656743, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656744, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656745, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656746, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656747, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656748, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656749, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656751, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656752, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656753, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656754, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656755, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656756, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656757, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656758, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656759, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656761, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656762, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656763, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656764, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656765, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656766, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656767, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656768, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656769, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656771, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656772, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656773, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656774, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656775, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656776, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656777, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656778, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656779, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1761656780, 399, 23909, 0, 0, 0, 1, 29, 3672, 47, 0, 138, 1
1761656781, 4481, 246415, 0, 0, 0, 2, 519, 52493, 65, 0, 181, 1
1761656782, 4909, 279851, 0, 0, 0, 1, 668, 68403, 62, 0, 155, 1
1761656783, 7376, 367138, 0, 0, 0, 1, 2510, 291349, 76, 0, 466, 1
1761656784, 6664, 367042, 0, 0, 0, 1, 926, 98288, 61, 0, 220, 1
