ts, snap_count, snap_bytes, snap_avg_ex_recv_ms, snap_avg_recv_write_ms, snap_max_ex_recv_ms, snap_max_recv_write_ms, trade_count, trade_bytes, trade_avg_ex_recv_ms, trade_avg_recv_write_ms, trade_max_ex_recv_ms, trade_max_recv_write_ms
1761504952, 3286, 85050, 0, 348, 0, 5289, 493, 42619, 0, 0, 0, 0
1761504953, 2210, 76268, 0, 579, 0, 6023, 614, 42574, 0, 0, 0, 0
1761504954, 2290, 71779, 0, 571, 0, 6539, 503, 49017, 0, 0, 0, 0
1761504955, 2307, 75985, 0, 641, 0, 7364, 419, 43283, 0, 0, 0, 0
1761504956, 2213, 73464, 0, 724, 0, 7987, 381, 34350, 0, 0, 0, 0
1761504957, 2989, 82145, 0, 650, 0, 8798, 562, 52889, 0, 0, 0, 0
1761504958, 2885, 78943, 0, 714, 0, 9524, 468, 45385, 0, 0, 0, 0
1761504959, 2570, 79892, 0, 865, 0, 10207, 468, 39146, 0, 0, 0, 0
1761504960, 2614, 77254, 0, 877, 0, 10964, 494, 43706, 0, 0, 0, 0
1761504961, 3546, 76507, 0, 584, 0, 11479, 546, 42204, 0, 0, 0, 0
1761504962, 2924, 79192, 0, 874, 0, 12427, 487, 49213, 0, 0, 0, 0
1761504963, 2102, 74543, 0, 1361, 0, 13314, 450, 33606, 0, 0, 0, 0
1761504964, 1989, 82986, 0, 1738, 0, 13682, 387, 38725, 0, 0, 0, 0
1761504965, 3263, 85166, 0, 959, 0, 14395, 754, 41000, 0, 0, 0, 0
1761504966, 6310, 396380, 0, 2969, 0, 14690, 1452, 157005, 0, 0, 0, 0
1761504967, 6894, 580203, 0, 3554, 0, 14139, 706, 61173, 0, 0, 0, 0
1761504968, 5777, 577817, 0, 2904, 0, 10639, 531, 45434, 0, 0, 0, 0
1761504969, 5998, 523713, 0, 1723, 0, 7565, 591, 50649, 0, 0, 0, 0
1761504970, 6661, 388002, 0, 165, 0, 2240, 1014, 87491, 0, 0, 0, 0
1761504971, 4353, 217414, 0, 0, 0, 16, 470, 40300, 0, 0, 0, 0
1761504972, 3056, 149833, 0, 0, 0, 8, 410, 35242, 0, 0, 0, 0
1761504973, 2785, 140236, 0, 0, 0, 23, 302, 25791, 0, 0, 0, 0
1761504974, 2599, 130045, 0, 4, 0, 89, 737, 61496, 0, 0, 0, 0
1761504975, 5467, 232462, 0, 7, 0, 140, 2277, 201853, 0, 0, 0, 0
1761504976, 8273, 398699, 0, 17, 0, 231, 1056, 90263, 0, 0, 0, 0
1761504977, 7420, 344965, 0, 3, 0, 64, 1012, 87102, 0, 0, 0, 0
1761504978, 3117, 168209, 0, 3, 0, 54, 476, 41112, 0, 0, 0, 0
1761504979, 6366, 268850, 0, 3, 0, 93, 1304, 111985, 0, 0, 0, 0
1761504980, 3577, 208453, 0, 1, 0, 26, 382, 32407, 0, 0, 0, 0
1761504981, 5685, 231172, 0, 5, 0, 160, 2766, 163071, 0, 0, 0, 0
1761504982, 10746, 412986, 0, 13, 0, 251, 1858, 236406, 0, 0, 0, 0
1761504983, 8878, 475531, 0, 19, 0, 192, 1272, 108792, 0, 0, 0, 0
1761504984, 5859, 341945, 0, 9, 0, 107, 466, 40217, 0, 0, 0, 0
1761504985, 4365, 248730, 0, 2, 0, 50, 550, 47095, 0, 0, 0, 0
1761504986, 4067, 232055, 0, 4, 0, 74, 363, 30801, 0, 0, 0, 0
1761504987, 2854, 183800, 0, 5, 0, 99, 391, 34381, 0, 0, 0, 0
1761504988, 2308, 114851, 0, 0, 0, 20, 586, 50137, 0, 0, 0, 0
1761504989, 3178, 142165, 0, 0, 0, 33, 628, 55277, 0, 0, 0, 0
1761504990, 2320, 94991, 0, 0, 0, 12, 278, 24188, 0, 0, 0, 0
1761504991, 3082, 132016, 0, 0, 0, 11, 430, 37013, 0, 0, 0, 0
1761504992, 2154, 103985, 0, 0, 0, 9, 440, 38350, 0, 0, 0, 0
1761504993, 2632, 116090, 0, 5, 0, 99, 491, 41140, 0, 0, 0, 0
1761504994, 3557, 162641, 0, 1, 0, 48, 893, 77811, 0, 0, 0, 0
1761504995, 2320, 106024, 0, 0, 0, 31, 382, 32949, 0, 0, 0, 0
1761504996, 2043, 103257, 0, 0, 0, 31, 306, 26812, 0, 0, 0, 0
1761504997, 2041, 102463, 0, 0, 0, 10, 330, 28377, 0, 0, 0, 0
1761504998, 3681, 170868, 0, 3, 0, 79, 612, 52773, 0, 0, 0, 0
1761504999, 3808, 147279, 0, 0, 0, 18, 482, 41013, 0, 0, 0, 0
1761505000, 5896, 241511, 0, 3, 0, 104, 1340, 114775, 0, 0, 0, 0
1761505001, 2960, 157193, 0, 1, 0, 34, 526, 45551, 0, 0, 0, 0
1761505002, 2592, 125564, 0, 1, 0, 44, 322, 28019, 0, 0, 0, 0
1761505003, 2540, 96069, 0, 0, 0, 16, 246, 21036, 0, 0, 0, 0
1761505004, 1708, 66964, 0, 0, 0, 7, 180, 15474, 0, 0, 0, 0
1761505005, 6364, 282656, 0, 1, 0, 59, 1282, 109576, 0, 0, 0, 0
1761505006, 5982, 252751, 0, 3, 0, 94, 1288, 110595, 0, 0, 0, 0
1761505007, 4969, 213374, 0, 7, 0, 227, 1795, 142370, 0, 0, 0, 0
1761505008, 5394, 236900, 0, 6, 0, 196, 1049, 101746, 0, 0, 0, 0
1761505009, 4387, 196458, 0, 1, 0, 32, 660, 56723, 0, 0, 0, 0
1761505010, 3510, 159017, 0, 2, 0, 58, 606, 52105, 0, 0, 0, 0
1761505011, 4123, 186760, 0, 2, 0, 59, 446, 38369, 0, 0, 0, 0
1761505012, 3382, 147950, 0, 0, 0, 22, 330, 28115, 0, 0, 0, 0
1761505013, 2601, 134943, 0, 1, 0, 35, 500, 42949, 0, 0, 0, 0
1761505014, 3757, 163298, 0, 3, 0, 61, 588, 50422, 0, 0, 0, 0
1761505015, 5039, 246791, 0, 4, 0, 90, 526, 45742, 0, 0, 0, 0
1761505016, 3964, 180736, 0, 2, 0, 40, 294, 25258, 0, 0, 0, 0
1761505017, 5302, 250599, 0, 8, 0, 180, 1366, 118929, 0, 0, 0, 0
1761505018, 5409, 269231, 0, 7, 0, 120, 1092, 95156, 0, 0, 0, 0
1761505019, 3520, 179111, 0, 1, 0, 35, 472, 40807, 0, 0, 0, 0
1761505020, 4313, 216033, 0, 1, 0, 45, 631, 53501, 0, 0, 0, 0
1761505021, 4409, 194016, 0, 0, 0, 25, 899, 78429, 0, 0, 0, 0
1761505022, 3912, 190112, 0, 2, 0, 57, 710, 60813, 0, 0, 0, 0
1761505023, 7855, 293474, 0, 5, 0, 148, 2272, 160484, 0, 0, 0, 0
1761505024, 7058, 318496, 0, 18, 0, 280, 1742, 186863, 0, 0, 0, 0
1761505025, 3744, 179282, 0, 0, 0, 22, 412, 35376, 0, 0, 0, 0
1761505026, 6530, 293861, 0, 9, 0, 157, 1105, 94668, 0, 0, 0, 0
